,0
i1,0.5576494414337603
i2,0.4308659265112596
i3,0.6100264222846974
i4,0.6784530488684585
i5,0.5460261352313427
i6,0.07158999759935056
i7,0.5450231966905154
i8,0.6528764277726379
i9,0.28860193032285525
i10,0.5209576123633511
i11,0.4131530021231458
i12,0.6722318972383337
i13,0.5529214801864102
i14,0.33206523013095635
i15,0.6502741697491679
i16,0.5188992688851016
i17,0.5579474618353372
i18,0.5640998534151704
i19,0.5070383631765139
i20,0.5844897742951124
i21,0.46044466458630146
i22,0.4926926149991769
i23,0.5142560277546321
i24,0.46591689873246167
i25,0.5713030429725434
i26,0.39269076327290947
i27,0.29594699138841696
i28,0.5814897217560897
i29,0.3486297628645834
