,count,mean,std,min,25%,50%,75%,max,Asimetría,Curtosis
i1,213.0,2.295774647887324,1.4575214765612399,1.0,1.0,2.0,3.0,5.0,0.7010603338426092,-0.9616951042778186
i2,213.0,2.751173708920188,1.3314274623904248,1.0,2.0,3.0,4.0,5.0,0.21146665660909622,-1.0712178362928293
i3,213.0,1.6384976525821595,1.0532168137824645,1.0,1.0,1.0,2.0,5.0,1.5736486196089494,1.4892637804398987
i4,213.0,2.347417840375587,1.2137014176434227,1.0,1.0,2.0,3.0,5.0,0.4090396613951312,-0.9961214806072198
i5,213.0,2.4178403755868545,1.277180352826155,1.0,1.0,2.0,3.0,5.0,0.46621802586431893,-0.8812671542993051
i6,213.0,3.075117370892019,1.5461426776191514,1.0,1.0,3.0,5.0,5.0,-0.08025809453355881,-1.4486987373783546
i7,213.0,1.8215962441314555,1.1800636720849031,1.0,1.0,1.0,2.0,5.0,1.4117750750035687,1.0535161869069318
i8,213.0,2.0657276995305165,1.2074450888068715,1.0,1.0,2.0,3.0,5.0,0.8953225167176118,-0.27842292066905117
i9,213.0,3.0469483568075115,1.1926079644016985,1.0,2.0,3.0,4.0,5.0,-0.14173700354123425,-0.6646903915767419
i10,213.0,2.1549295774647885,1.2699118301433483,1.0,1.0,2.0,3.0,5.0,0.7796099922892097,-0.6139609262213881
i11,213.0,2.3051643192488265,1.2308233155870003,1.0,1.0,2.0,3.0,5.0,0.48756532917267803,-0.8384180822910583
i12,213.0,2.295774647887324,1.285562422222161,1.0,1.0,2.0,3.0,5.0,0.6288830303951208,-0.7698238548942835
i13,213.0,2.427230046948357,1.2997134403465447,1.0,1.0,2.0,3.0,5.0,0.493159330951591,-0.8508397793888682
i14,213.0,3.755868544600939,1.1722119960869029,1.0,3.0,4.0,5.0,5.0,-0.7909492497573348,-0.11878626007890647
i15,213.0,2.4741784037558685,1.301501276140578,1.0,1.0,2.0,3.0,5.0,0.41350028241986286,-1.0057039234408842
i16,213.0,2.244131455399061,1.1681810653772344,1.0,1.0,2.0,3.0,5.0,0.5347133112379339,-0.7005171758803583
i17,213.0,1.5023474178403755,0.8987644199149706,1.0,1.0,1.0,2.0,5.0,1.8228122656257704,2.7999626543283878
i18,213.0,2.60093896713615,1.351239494236947,1.0,1.0,3.0,4.0,5.0,0.24693132660494843,-1.2118891783258272
i19,213.0,2.248826291079812,1.1239506774513084,1.0,1.0,2.0,3.0,5.0,0.5023868102948038,-0.611632652063526
i20,213.0,2.5023474178403755,1.1920507664000324,1.0,1.0,2.0,3.0,5.0,0.33172027756377226,-0.8315803455413553
i21,213.0,2.7981220657276995,1.4013457965946337,1.0,1.0,3.0,4.0,5.0,0.1572674605902937,-1.2156136332902394
i22,213.0,2.1971830985915495,1.2203431118568218,1.0,1.0,2.0,3.0,5.0,0.591101838853279,-0.7848262311351188
i23,213.0,2.755868544600939,1.2576279790070521,1.0,2.0,3.0,4.0,5.0,0.11173452459478776,-1.047077211607748
i24,213.0,2.568075117370892,1.064572974000502,1.0,2.0,3.0,3.0,5.0,-0.013852840960737524,-0.6946267851104952
i25,213.0,2.7464788732394365,1.4671076974829826,1.0,1.0,3.0,4.0,5.0,0.22094390098348296,-1.3359573422138267
i26,213.0,1.9953051643192488,1.0880901243461494,1.0,1.0,2.0,3.0,5.0,0.8743038697031409,-0.04016841691240236
i27,213.0,2.943661971830986,1.3198841138059147,1.0,2.0,3.0,4.0,5.0,0.005092355944025494,-1.0802847807402574
i28,213.0,1.7230046948356808,1.10883518050476,1.0,1.0,1.0,2.0,5.0,1.5302510214225935,1.480393575306997
i29,213.0,2.971830985915493,1.2050032997596192,1.0,2.0,3.0,4.0,5.0,-0.0598206320691284,-0.8241881380030467
